,number,value,datetime_start,datetime_complete,duration,params_n_hidden_layers,params_n_neurons_per_layer,state
0,0,,2021-03-19 08:44:54.561747,,,13,9,RUNNING
1,1,,2021-03-19 08:45:12.017366,,,4,39,RUNNING
2,2,,2021-03-19 08:45:12.374821,,,2,3,RUNNING
3,3,0.6996459913300735,2021-03-19 09:35:36.845978,2021-03-19 09:35:53.339006,0 days 00:00:16.493028,17,1,COMPLETE
4,4,0.7071125215563665,2021-03-19 09:35:53.558050,2021-03-19 09:36:04.962473,0 days 00:00:11.404423,11,17,COMPLETE
5,5,0.7130414029724391,2021-03-19 09:37:14.416987,2021-03-19 09:37:34.006462,0 days 00:00:19.589475,16,23,COMPLETE
6,6,0.7142937840761714,2021-03-19 09:37:34.191777,2021-03-19 09:37:45.858445,0 days 00:00:11.666668,16,13,COMPLETE
7,7,0.5474424245183483,2021-03-19 09:40:35.909671,2021-03-19 09:40:46.883499,0 days 00:00:10.973828,2,9,COMPLETE
8,8,0.25873532918418296,2021-03-19 09:40:47.033507,2021-03-19 09:40:58.783905,0 days 00:00:11.750398,11,1,COMPLETE
9,9,2.1712317027673777e-09,2021-03-19 10:10:55.228352,2021-03-19 11:42:28.829826,0 days 01:31:33.601474,20,22,COMPLETE
10,10,4.089147411683151e-11,2021-03-19 10:11:13.199320,2021-03-19 13:02:07.874194,0 days 02:50:54.674874,11,35,COMPLETE
11,11,1.9919660474234479e-10,2021-03-19 10:11:37.239772,2021-03-19 13:22:13.143074,0 days 03:10:35.903302,2,11,COMPLETE
12,12,,2021-03-19 10:17:15.690565,,,10,37,RUNNING
13,13,,2021-03-19 10:20:25.114454,,,19,14,RUNNING
14,14,3.433148158940564e-11,2021-03-19 10:47:57.417515,2021-03-19 13:27:21.986580,0 days 02:39:24.569065,10,17,COMPLETE
15,15,,2021-03-19 10:55:57.057435,,,20,3,RUNNING
16,16,2.110396741888383e-11,2021-03-19 10:59:17.172891,2021-03-19 12:59:44.404896,0 days 02:00:27.232005,5,32,COMPLETE
17,17,,2021-03-19 11:01:23.941508,,,2,11,RUNNING
18,18,6.122049380344998e-11,2021-03-19 11:18:13.161534,2021-03-19 13:42:36.813972,0 days 02:24:23.652438,8,21,COMPLETE
19,19,8.616582455309035e-11,2021-03-19 11:23:29.254749,2021-03-19 15:19:35.307403,0 days 03:56:06.052654,2,35,COMPLETE
20,20,,2021-03-19 11:29:17.719194,,,9,9,RUNNING
21,21,,2021-03-19 11:35:31.233193,,,4,31,RUNNING
22,22,,2021-03-19 11:35:35.653708,,,5,6,RUNNING
23,23,4.909499333577775e-11,2021-03-19 11:42:30.207353,2021-03-19 15:24:48.692879,0 days 03:42:18.485526,12,37,COMPLETE
24,24,3.948232155503675e-10,2021-03-19 11:59:51.610671,2021-03-19 14:43:23.789118,0 days 02:43:32.178447,20,33,COMPLETE
25,25,1.833379903291332e-11,2021-03-19 12:01:57.528516,2021-03-19 13:56:02.306084,0 days 01:54:04.777568,11,17,COMPLETE
26,26,1.251559233296742e-10,2021-03-19 12:11:09.559985,2021-03-19 14:40:07.103585,0 days 02:28:57.543600,10,17,COMPLETE
27,27,,2021-03-19 12:23:38.279827,,,15,11,RUNNING
28,28,,2021-03-19 12:41:04.604644,,,17,17,RUNNING
29,29,,2021-03-19 12:47:35.390998,,,8,11,RUNNING
30,30,8.349159939832741e-11,2021-03-19 12:59:45.835522,2021-03-19 15:37:30.066051,0 days 02:37:44.230529,13,22,COMPLETE
31,31,,2021-03-19 13:01:02.084455,,,9,5,RUNNING
32,32,4.7596482489502733e-11,2021-03-19 13:02:09.156043,2021-03-19 14:20:15.470978,0 days 01:18:06.314935,19,14,COMPLETE
33,33,,2021-03-19 13:13:49.710891,,,14,38,RUNNING
34,34,1.2575646812875578e-11,2021-03-19 13:22:13.257118,2021-03-19 15:51:51.950540,0 days 02:29:38.693422,6,39,COMPLETE
35,35,,2021-03-19 13:27:22.109706,,,6,33,RUNNING
36,36,,2021-03-19 13:41:30.912365,,,6,34,RUNNING
37,37,1.8812768847756917e-11,2021-03-19 13:42:36.886620,2021-03-19 16:06:09.920297,0 days 02:23:33.033677,6,33,COMPLETE
38,38,9.201929978592471e-12,2021-03-19 13:56:02.368693,2021-03-19 15:47:51.094488,0 days 01:51:48.725795,6,31,COMPLETE
39,39,,2021-03-19 13:58:43.734827,,,6,31,RUNNING
40,40,,2021-03-19 14:07:02.386560,,,5,31,RUNNING
41,41,,2021-03-19 14:20:23.724174,,,5,31,RUNNING
42,42,,2021-03-19 14:40:07.212325,,,6,30,RUNNING
43,43,,2021-03-19 14:43:24.020044,,,5,27,RUNNING
44,44,,2021-03-19 15:08:18.552936,,,5,30,RUNNING
45,45,,2021-03-19 15:19:02.836667,,,5,28,RUNNING
46,46,,2021-03-19 15:19:35.383261,,,6,28,RUNNING
47,47,,2021-03-19 15:37:12.213233,,,5,30,RUNNING
48,48,,2021-03-19 15:38:12.954872,,,6,28,RUNNING
49,49,,2021-03-19 16:05:48.974990,,,6,28,RUNNING
